K,d,h,J
30,4,0.1,0.2506904532965116
30,4,0.2,0.44972691974420514
23,4,0.1,0.6085357012926756
20,4,0.1,0.990790663023057
23,2,0.3,1004.3240371989951
15,3,0.3,1037.0572628805373
30,4,0.4,118134.74138003135
30,3,0.1,1.2833728255702417
20,3,0.4,1284.0698887223139
30,4,0.05,134.59817665908292
15,3,0.2,140.29442553310213
10,2,0.2,1428.395639916635
30,3,0.4,143746.41543471353
20,4,0.2,15.995687623867784
23,2,0.1,160.56892117943144
10,4,0.3,1622.2004354086032
15,3,0.4,1730.236662037571
30,2,0.1,19398.38936910205
10,3,0.2,1944.01753216834
10,2,0.1,197.29067052499542
23,2,0.4,20069.30761087095
15,3,0.05,202.12233692312918
20,4,0.05,2.0944007383336194
15,4,0.3,225.8027356392712
10,3,0.1,238.7100066813011
15,2,0.1,243.32478738831915
20,3,0.2,2433.977596830728
30,2,0.4,245.01936659390677
10,3,0.05,248.347850952915
30,2,0.05,258.16033015876286
20,2,0.05,271.2969638192523
15,4,0.2,2739.0347115059135
10,4,0.4,280.82310109497723
15,4,0.1,2.8918251499409156
15,2,0.2,294.7632283752976
20,4,0.4,2974.455200504222
23,3,0.05,303.0189500957421
20,3,0.05,31.885751552821695
23,2,0.05,324.39641338373485
23,4,0.05,3.386934786901672
15,2,0.4,349.6401395963432
30,4,0.3,3611.4219823325393
10,2,0.3,364.86646338470297
10,4,0.2,3692.5317167210437
23,3,0.2,37.34926826604051
23,2,0.2,3858.6868594550483
20,3,0.1,39.007672938151934
30,3,0.05,3.917631379715117
15,3,0.1,41.27649907191186
10,4,0.1,4.137390206395638
23,3,0.3,4157.750468294235
30,2,0.2,422.13533472136453
20,2,0.1,453.4281865772449
23,3,0.1,5.08937184685112
23,4,0.3,55635.82945625546
15,4,0.05,5.758945760633226
10,4,0.05,58.313664859834034
15,4,0.4,58334.83197150575
30,2,0.3,603.3561382470131
30,3,0.3,6453.397705727825
10,3,0.4,6658.549990708158
10,2,0.4,670.2687317597716
15,2,0.3,688.372102556897
30,3,0.2,688.4873596057633
20,3,0.3,697.1072952745782
23,4,0.2,69.97188973157182
20,2,0.4,716.5666723518733
23,4,0.4,72598.94953293583
20,2,0.2,73.60441444433455
10,3,0.3,7483.7952134388115
15,2,0.05,759.5904663678978
20,2,0.3,82255.3902062956
10,2,0.05,858.5405085434803
20,4,0.3,92.19488157316997
23,3,0.4,9327.237251179187
