K,d,h,J
23,4,0.05,0.05202530958502821
23,3,0.05,0.10074799611842931
30,4,0.05,0.10372604365705858
23,3,0.2,0.10531212896214139
15,4,0.05,0.12327157153823332
10,4,0.05,0.13259860128756018
20,4,0.05,0.24494919587766342
10,3,0.05,0.31606442092777176
20,4,0.1,0.31974793447268407
15,3,0.1,0.534077286852913
20,2,0.3,101.51890318697083
20,4,0.2,103.0829888695739
30,3,0.2,1052.6739893242723
10,4,0.2,11.344897201520283
20,3,0.1,12.317577898721115
23,2,0.2,128.3495799281736
23,4,0.1,13.621450537933889
10,3,0.2,14.517796488506585
15,3,0.4,1.4621238108020906
15,2,0.1,146.65115635492336
20,3,0.2,149.7827172724247
30,3,0.3,15051.686048628377
23,3,0.3,1508.551986247948
30,3,0.1,16.621994149098906
30,4,0.1,17.104561901099576
15,3,0.2,17.161156733855215
20,2,0.2,177.03931394553965
20,3,0.4,18071.865902770558
10,4,0.4,1809.4805905652154
15,3,0.3,191.4555520662203
10,3,0.1,21.538498194147103
23,2,0.1,22.011566607265273
15,4,0.1,22.067687685663035
30,2,0.05,221.2750507088762
10,2,0.2,229.85896561728353
23,4,0.4,24285.05513395408
20,3,0.3,2.4393910011279742
30,3,0.05,26.239049940230956
10,3,0.3,264.1602762530373
15,4,0.3,268.0504378739108
30,2,0.1,26.92819456174256
10,3,0.4,289.4406929099266
10,2,0.3,290.02242353706106
23,3,0.1,29.390860221157237
23,3,0.4,2984.407445016282
15,3,0.05,3.0199939355331558
23,2,0.05,314.03382465570985
15,4,0.2,3.161171371692981
20,4,0.4,31760.658588075283
10,2,0.1,319.9745440194433
10,2,0.05,326.2753887897502
15,2,0.05,328.2476617875081
15,2,0.4,330.6796269093384
15,2,0.3,339.8024393934789
30,2,0.2,363.8875528798917
20,2,0.05,386.60727585837793
23,2,0.4,394.04585934013363
30,4,0.3,40.38568463344757
23,2,0.3,40624.03208537957
30,4,0.4,408711.31507579965
30,2,0.4,4203.910174757262
20,4,0.3,4250.554217462688
15,2,0.2,428.6162590223326
10,4,0.3,6.064736147075828
23,4,0.2,7.048696224488435
10,4,0.1,7.647006826464863
15,4,0.4,82.33001031661732
10,2,0.4,823.6290213317338
23,4,0.3,894.5786228994818
20,3,0.05,8.998581142455386
20,2,0.4,901.6736297867548
30,3,0.4,908.2334056025509
30,4,0.2,9.379102315942717
30,2,0.3,949.7837847603741
20,2,0.1,97.79533436461861
